Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
"Arts & Democracy, Inc.",88 Prospect Park West #3D,"88 Prospect Park West #3D, Brooklyn",40.6675334,-73.9747843,Brooklyn,NY,11215,(718) 965-1509,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,165,3025555,3010830038,Park Slope-Gowanus
"Arts @ Henson-Parks, Inc.",11460 174TH STREET,"11460 174TH STREET, JAMAICA",40.690916,-73.775918,JAMAICA,NY,11434,(646) 996-8500,Photography,Queens Council District #27,Queens Community Board #12,Queens,432,4268603,4123950029,St. Albans
"Arts Connection, Inc.","520 Eighth Avenue, Suite 321","520 Eighth Avenue, Suite 321, New York",40.753615,-73.9920415,New York,NY,10018,(212) 302-7433 x468,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,109,1083624,1007860001,Midtown-Midtown South
"Arts Engine, Inc.",145 West 24th Street,"145 West 24th Street, New York",40.7445317,-73.99405,New York,NY,10011,(646) 230-6368 x214,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,91,1014975,1008000015,Hudson Yards-Chelsea-Flatiron-Union Square
"Arts For All, Inc.","119 West 23rd Street, 5th Floor","119 West 23rd Street, 5th Floor, New York",40.7434978,-73.9934297,New York,NY,10011,(212) 591-6108,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #2,Manhattan,91,1014952,1007990028,Hudson Yards-Chelsea-Flatiron-Union Square
Arts Horizons LeRoy Neiman Art Center,2785 Frederick Douglass Blvd.,"2785 Frederick Douglass Blvd., New York",40.8246649,-73.940896,New York,NY,10039,(212) 862-2787,Visual Arts,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,259,1087475,1020450054,Central Harlem North-Polo Grounds
Arts Indonesia,49 India St. apt 4L,"49 India St. apt 4L, Brooklyn",40.7320911,-73.9586467,Brooklyn,NY,11222,(617) 767-9435,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,
"Arts On Site NYC, Inc.","12 Saint Marks Place, #3F","12 Saint Marks Place, #3F, New York",40.728991,-73.9893159,New York,NY,10003,(919) 614-0505,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,38,1006665,1004630015,East Village
"Arts Resources in Collaboration, Inc.",70 East 10th Street,"70 East 10th Street, New York",40.7312484,-73.9910744,New York,NY,10003,(212) 206-6492,Dance,Manhattan Council District #6,Manhattan Community Board #3,Manhattan,57,1008954,1005550001,West Village
"Arts for Art, Inc.","107 Suffolk Street, #300","107 Suffolk Street, #300, New York",40.7191552,-73.9862627,New York,NY,10002,(212) 254-5420,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,1402,1004301,1003530054,Lower East Side
"Belladonna Series, Inc.",925 Bergen St,"925 Bergen St, Brooklyn",40.6772397,-73.9566011,Brooklyn,NY,11238,(917) 474-2003,Literature,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn,305,3330648,3011420060,Crown Heights North
"Artsgenesis, Inc.","154 Christopher Street, Suite 2A","154 Christopher Street, Suite 2A, New York",40.7325517,-74.0080891,New York,NY,10014,(212) 741-1414 x15,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,69,1010421,1006040033,West Village
Asase Yaa Cultural Arts Foundation,1803 Fulton Street,"1803 Fulton Street, New York",40.6793998,-73.9271032,New York,NY,11233,(347) 915-2563,"Multi-Discipline, Performing",Brooklyn Council District #41,Brooklyn Community Board #3,Brooklyn,381,3047930,3016950049,Crown Heights North
"Ascension Music Chorus and Orchestra, Inc.",12 West 11th Street,"12 West 11th Street, New York",40.7341113,-73.9957434,New York,NY,10011,(212) 358-1469,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,63,1009538,1005740038,West Village
"Asia Art Archive in America, Inc.",43 Remsen Street (Garden Floor),"43 Remsen Street (Garden Floor), Brooklyn",40.6948981,-73.9967551,Brooklyn,NY,11201,(718) 522-2299,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,301,3002021,3002470008,Brooklyn Heights-Cobble Hill
Asia Society,725 Park Avenue,"725 Park Avenue, New York",40.7698508,-73.9643235,New York,NY,10021,(212) 327-9218,Museum,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,128,1042714,1014050001,Upper East Side-Carnegie Hill
"Asian American Activity Center, Inc.","396 Broadway, Suite 205","396 Broadway, Suite 205, New York",40.7183531,-74.0022231,New York,NY,10013,(212) 431-0368,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,31,1002323,1001950007,SoHo-TriBeCa-Civic Center-Little Italy
Asian American Arts Alliance,"20 Jay Street, Suite 740","20 Jay Street, Suite 740, Brooklyn",40.7041895,-73.9867797,Brooklyn,NY,11201,(212) 941-9208 x1,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,39,1001553,1001430021,SoHo-TriBeCa-Civic Center-Little Italy
"Asian American Arts Centre, Inc.","26 Bowery, 3rd Floor","26 Bowery, 3rd Floor, New York",40.7149412,-73.9972584,New York,NY,10013,(212) 233-2154,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,29,1001802,1001630035,Chinatown
Asian American Coalition for Education,202-39 Rocky Hill Road,"202-39 Rocky Hill Road, Bayside",40.753391,-73.7767989,Bayside,NY,11361,(718) 229-1368,"Multi-Discipl, Perf & Non-Perf",Queens Council District #19,Queens Community Board #11,Queens,145102,4538785,4055610046,Bayside-Bayside Hills
"Asian American Film Lab, Inc.",20 Jay Street,"20 Jay Street, Brooklyn",40.7041895,-73.9867797,Brooklyn,NY,11201,(646) 535-5212,Film/Video/Audio,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,39,1001553,1001430021,SoHo-TriBeCa-Civic Center-Little Italy
"Asian American Women Artists Alliance, Inc.",136 15th Street,"136 15th Street, Brooklyn",40.66678,-73.992358,Brooklyn,NY,11215,(718) 788-6170,Visual Arts,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,117,3023861,3010460036,Park Slope-Gowanus
Asian American Writers' Workshop,110-112 West 27th Street,"110-112 West 27th Street, New York",40.7456129,-73.9917459,New York,NY,10001,(212) 494-0061,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,95,1015048,1008020050,Midtown-Midtown South
"Asian CineVision, Inc.",115 West 30th Street,"115 West 30th Street, New York",40.7477249,-73.9903851,New York,NY,10001,(212) 989-1422,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,101,1015161,1008060026,Midtown-Midtown South
"Asian Cultural Council, Inc.",6 West 48th Street,"6 West 48th Street, New York",40.7573878,-73.9788535,New York,NY,10036,(212) 843-0367,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,96,1034487,1012630043,Midtown-Midtown South
"Association for Development of Dramatic Arts, Inc.","301 East 57th St., 3rd Fl.","301 East 57th St., 3rd Fl., New York",40.7593798,-73.9646707,New York,NY,10022,(212) 583-2706 x15,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,108,1039997,1013500001,Turtle Bay-East Midtown
"Association for the Advancement of Creative Musicians, New York City Chapter, Inc.",P.O. Box 187,"P.O. Box 187, New York",40.854695,-73.8861982,New York,NY,10108,(212) 594-7121,Music,Manhattan Council District #2,Manhattan Community Board #4,Manhattan,,,,
"Association of Dominican Classical Artists, Inc.",699 East 137 Street,"699 East 137 Street, Bronx",40.8045775,-73.9136846,Bronx,NY,10454,(917) 331-6122,"Multi-Discipline, Performing",Bronx Council District #8,Bronx Community Board #1,Manhattan,,,,
"Association of Hispanic Arts, Inc.",1702 Lexington Avenue,"1702 Lexington Avenue, New York",40.7927223,-73.9462345,New York,NY,10029,(212) 876-1242,Other,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,172,1052054,1016340056,East Harlem South
Astoria Big Band,"161 Sixth Avenue, 14th floor","161 Sixth Avenue, 14th floor, New York",40.7258367,-74.00429,New York,NY,10013,(212) 691-6969 x13,Music,,Manhattan Community Board #1,Manhattan,37,1007822,1005050031,SoHo-TriBeCa-Civic Center-Little Italy
"Astoria Music Society, Inc.",22-70 23rd Street,"22-70 23rd Street, Astoria",40.778463,-73.917784,Astoria,NY,11105,(718) 721-8311,Music,Queens Council District #22,Queens Community Board #1,Queens,101,4019527,4008780066,Steinway
Astoria Performing Arts Center,Kaufman Astoria Studios,"Kaufman Astoria Studios, Astoria",40.7568434,-73.9244921,Astoria,NY,11106,(917) 566-0969,Theater,Queens Council District #22,Queens Community Board #1,Queens,,,,
"At Hand Theatre Company, Inc.",214 West 122nd Street #2,"214 West 122nd Street #2, New York",40.8072409,-73.9507118,New York,NY,10027,(646) 334-8352,Theater,Queens Council District #26,Queens Community Board #2,Queens,,,,
Athena Theatre,1224 St. Nicholas Avenue,"1224 St. Nicholas Avenue, New York",40.8430517,-73.9379569,New York,NY,10032,(818) 642-6294,Theater,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,253,1063062,1021280003,Washington Heights South
"Beta Israel of North America Cultural Foundation, Inc.",PO Box 470,"PO Box 470, New York",43.2994285,-74.2179326,New York,NY,10030,(212) 284-6942,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,,,,
Atlantic Avenue Local Development Corporation,494 Atlantic Avenue,"494 Atlantic Avenue, Brooklyn",40.6855726,-73.9819271,Brooklyn,NY,11217,(212) 710-0010,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,39,3000977,3001850014,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Atlantic Theater Company,"76 Ninth Avenue, Ste. 537","76 Ninth Avenue, Ste. 537, New York",40.7417806,-74.0045012,New York,NY,10011,(212) 691-5919,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,83,1013043,1007390001,Hudson Yards-Chelsea-Flatiron-Union Square
"Audience, Inc.",39 Avenue A,"39 Avenue A, New York",40.7235429,-73.9856013,New York,NY,10009,(646) 351-9859,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #6,Manhattan,3002,1077953,1004300010,East Village
Australian Aboriginal Theatre Initiative,60 2nd Avenue,"60 2nd Avenue, New York",40.7257476,-73.9893159,New York,NY,10003,(212) 533-0889,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,38,1006165,1004450004,East Village
"Autonomedia, Inc.",P.O. Box 568 Williamsburgh Station,"P.O. Box 568 Williamsburgh Station, Brooklyn",40.7020293,-73.9412775,Brooklyn,NY,11211,(718) 963-2603,Literature,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,,,,
"Avant Media Performance, Inc.","113 South 2nd Street, #1B","113 South 2nd Street, #1B, Brooklyn",40.7138251,-73.9630067,Brooklyn,NY,11211,(212) 372-3326,"Multi-Discipline, Performing",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,551,3389057,3024057501,North Side-South Side
Ayazamana Cultural Center,32-22 48 Street,"32-22 48 Street, Long Island City",40.755469,-73.913343,Long Island City,NY,11103,(646) 229-5867,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Queens,161,4013136,4007230047,Astoria
Azure Ensemble,"c/o Susan Glaser, Steinhardt School, NYU","c/o Susan Glaser, Steinhardt School, NYU, New York",40.729809,-73.988082,New York,NY,10012,(212) 222-3067,Music,Manhattan Council District #9,Manhattan Community Board #7,Manhattan,,,,
BAM Local Development Corporation,80 Hansen Place,"80 Hansen Place, Brooklyn",40.6852577,-73.974417,Brooklyn,NY,11217,(718) 907-4411,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,,,,
BCA Development Corporation,1738 Hone Avenue,"1738 Hone Avenue, Bronx",40.8485918,-73.8543255,Bronx,NY,10461,(718) 401-9558,,,,Bronx,254,2044837,2041040001,Van Nest-Morris Park-Westchester Square
"BCT Brooklyn Children's Theatre, Inc.",135 Prospect Park SW #B7,"135 Prospect Park SW #B7, New York",40.6560997,-73.9738761,New York,NY,11218,(646) 675-0325,Theater,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn,171,3121890,3052570045,Windsor Terrace
BJHI INC,3603 QUENTIN RD,"3603 QUENTIN RD, BROOKLYN",40.6148913,-73.9367743,BROOKLYN,NY,11234,(347) 434-3973,Film/Video/Audio,Brooklyn Council District #46,Brooklyn Community Board #18,Brooklyn,646,3212428,3077090009,Georgetown-Marine Park-Bergen Beach-Mill Basin
BRIC Arts Media Bklyn,647 Fulton Street,"647 Fulton Street, Brooklyn",40.6888467,-73.9790576,Brooklyn,NY,11217,(718) 683-5600,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,33,3058597,3020950001,Fort Greene
Bailey's Cafe,324 Malcolm X Boulevard,"324 Malcolm X Boulevard, Brooklyn",40.681704,-73.9290879,Brooklyn,NY,11233,(347) 721-2152,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,297,3047513,3016810047,Crown Heights North
"Baja Musical Arts Initiative, Inc.",601 W 26TH ST SUITE 325-257,"601 W 26TH ST SUITE 325-257, New York City",40.7516571,-74.0071579,New York City,NY,10001,(646) 996-9467,Music,Manhattan Council District #3,Manhattan Community Board #3,Bronx,,,,
Balance Dance Theatre,181 East 91st Street,"181 East 91st Street, Brooklyn",40.6603475,-73.9267626,Brooklyn,NY,11212,(718) 624-6414,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,882,3099867,3046100055,Rugby-Remsen Village
Balinese American Dance Theatre,"23 West 35th Street, 2nd Floor","23 West 35th Street, 2nd Floor, New York",40.7498052,-73.9852351,New York,NY,10001,(646) 361-9183,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,84,1015894,1008370028,Midtown-Midtown South
"Ballet Ambassadors, Inc.","160 West 71st Street, Ste. 18A","160 West 71st Street, Ste. 18A, New York",40.7774813,-73.9816714,New York,NY,10023,(212) 600-0018,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,157,1029778,1011420064,Lincoln Square
"Ballet Hispanico of New York, Inc.",167 West 89 Street,"167 West 89 Street, New York",40.7894725,-73.9726722,New York,NY,10024,(212) 362-6710 x23,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,173,1081050,1012200107,Upper West Side
"Ballet Next, Inc.",243 West 60th Street,"243 West 60th Street, New York",40.771979,-73.9889567,New York,NY,10023,(212) 203-0409,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,147,1030315,1011527502,Lincoln Square
Ballet Orchestra of New York City,438 East 76th Street #4-C,"438 East 76th Street #4-C, New York",40.7695198,-73.952429,New York,NY,10021,(212) 988-2148,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,132,1045938,1014700030,Lenox Hill-Roosevelt Island
"Ballet Tech Foundation, Inc.","890 Broadway, 8th Floor","890 Broadway, 8th Floor, New York",40.7385507,-73.9895743,New York,NY,10003,(212) 777-7710 x314,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,52,1016163,1008487502,Hudson Yards-Chelsea-Flatiron-Union Square
"Ballet Theatre Foundation, Inc.","890 Broadway, 3rd Floor","890 Broadway, 3rd Floor, New York",40.7385507,-73.9895743,New York,NY,10003,(212) 477-3030 x1188,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,52,1016163,1008487502,Hudson Yards-Chelsea-Flatiron-Union Square
BalletCollective Inc.,850 Amsterdam Ave 14F,"850 Amsterdam Ave 14F, New York",40.7976291,-73.9680576,New York,NY,10025,(646) 337-1254,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #7,Manhattan,187,1056510,1018730031,Upper West Side
Ballroom Basix USA Inc.,178 E 117th Street,"178 E 117th Street, New York",40.7987449,-73.94031,New York,NY,10035,(212) 876-8660,Dance,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,182,1088162,1016447501,East Harlem North
"Ballroom Basix USA, Inc.",178 E. 117th St,"178 E. 117th St, New York",40.7987449,-73.94031,New York,NY,10035,(212) 876-8660,Dance,Manhattan Council District #8,Manhattan Community Board #11,Bronx,,,,
"Bang Group, Inc.","131 Perry Street, Ste. 1A","131 Perry Street, Ste. 1A, New York",40.7350926,-74.0076617,New York,NY,10014,(212) 337-9565,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,75,1011864,1006330028,West Village
"Bang on a Can, Inc.","80 Hanson Place, Ste. 701","80 Hanson Place, Ste. 701, Brooklyn",40.6852577,-73.974417,Brooklyn,NY,11217,(718) 852-7755,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,35,3057479,3020030034,Fort Greene
"Bangladesh Institute of Performing Arts, Inc.",40-25 68th Street,"40-25 68th Street, Woodside",40.745491,-73.896806,Woodside,NY,11377,(917) 674-4746,Folk Arts,Queens Council District #26,Queens Community Board #1,Queens,263,4535463,4013000116,Woodside
Bangladeshi American Community Development and Youth Services,181 Forbell Street,"181 Forbell Street, Brooklyn",40.6785945,-73.863879,Brooklyn,NY,11208,(718) 235-1700,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #37,Brooklyn Community Board #5,Brooklyn,1188,3094520,3042060015,Cypress Hills-City Line
"Barbad Chamber Orchestra, Inc.","PO Box 216, Lenox Hill Station","PO Box 216, Lenox Hill Station, New York",40.7680698,-73.9601111,New York,NY,10021,(212) 414-7691,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,,,,
Bardekova Ensemble,2965 Marion Avenue 3G,"2965 Marion Avenue 3G, New York",40.8692657,-73.8843255,New York,NY,10458,(718) 933-6221,Music,Bronx Council District #11,Bronx Community Board #7,Bronx,415,2016732,2032920001,Bedford Park-Fordham North
"Bargemusic, Ltd.",Fulton Ferry Landing,"Fulton Ferry Landing, Brooklyn",40.7035805,-73.9921853,Brooklyn,NY,11201,(718) 624-4061,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,21,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Barrow Group, Inc.","312 West 36th Street, Apt. 4W","312 West 36th Street, Apt. 4W, New York",40.753691,-73.993341,New York,NY,10018,(201) 709-5720,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,111,1080495,1007590049,Hudson Yards-Chelsea-Flatiron-Union Square
Bartow-Pell Landmark Fund,895 Shore Road,"895 Shore Road, Bronx",40.8719274,-73.8055009,Bronx,NY,10464,(718) 885-1461,Museum,Bronx Council District #13,Bronx Community Board #10,Bronx,504,2097423,2056500001,park-cemetery-etc-Bronx
"Baryshnikov Dance Foundation, Inc.","450 West 37th Street, Suite 501","450 West 37th Street, Suite 501, New York",40.756099,-73.9973802,New York,NY,10018,(646) 731-3201,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,111,1087066,1007347502,Hudson Yards-Chelsea-Flatiron-Union Square
"Batoto Yetu, Inc.",12 Sylvan Terrace,"12 Sylvan Terrace, New York",40.8346538,-73.939392,New York,NY,10032,(646) 240-4161,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,24301,1062558,1021090063,Washington Heights South
"Battered Women's Safe Territory -an Opportunity to Progress, Inc.",94 Bentwood Drive,"94 Bentwood Drive, Waterbury",41.5500419,-72.9751818,Waterbury,NY,6705,(203) 768-3841,"Multi-Discipline, Non-Perform",Bronx Council District #16,Bronx Community Board #5,Bronx,,,,
Battery Dance Corporation,"380 Broadway, Fifth Floor","380 Broadway, Fifth Floor, New York",40.7180774,-74.0028851,New York,NY,10013,(212) 219-3910,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,31,1002317,1001950001,SoHo-TriBeCa-Civic Center-Little Italy
Battleworks Dance Company,P.O. Box 16,"P.O. Box 16, New York",40.7127753,-74.0059728,New York,NY,10012,(718) 312-8718,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,,,,
"Bayside Glee Club, Inc.",51-17 Reeder Street,"51-17 Reeder Street, Elmhurst",40.737913,-73.878018,Elmhurst,NY,11373,(718) 424-5769,Music,Queens Council District #19,Queens Community Board #4,Queens,473,4038776,4015490055,Elmhurst
Bayside Historical Society,208 Totten Avenue,"208 Totten Avenue, Bayside",40.7926183,-73.7799127,Bayside,NY,11359,(718) 352-1548,Humanities,Queens Council District #19,Queens Community Board #11,Queens,999,4539849,4059170001,Ft. Totten-Bay Terrace-Clearview
"Beam Center, Inc.",47 Bergen Street,"47 Bergen Street, Brooklyn",40.6873251,-73.9912474,Brooklyn,NY,11201,(347) 470-6747,"Multi-Discipline, Non-Perform",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,43,3001236,3001930040,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Bedford Stuyvesant Restoration Corporation,1368 Fulton Street,"1368 Fulton Street, Brooklyn",40.6799826,-73.9458184,Brooklyn,NY,11216,(718) 636-6931,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,247,3053786,3018620014,Crown Heights North
"Bedlam, Inc.","2753 Broadway,","2753 Broadway,, New York",40.8012611,-73.968279,New York,NY,10025,(646) 784-1029,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,191,1056629,1018770061,Upper West Side
"Behind the Book, Inc.","216 West 135th Street, Ground Floor","216 West 135th Street, Ground Floor, New York",40.8154247,-73.9445583,New York,NY,10030,(212) 222-3627,Literature,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,228,1058844,1019400039,Central Harlem North-Polo Grounds
Believe In Me,1123 Broadway,"1123 Broadway, New York",40.7433495,-73.989291,New York,NY,10010,(646) 336-1500,,,,Manhattan,58,1015618,1008270028,Hudson Yards-Chelsea-Flatiron-Union Square
Beth Morrison Projects,666 Ocean Avenue #D1,"666 Ocean Avenue #D1, Brooklyn",40.6464544,-73.9607113,Brooklyn,NY,11226,(646) 682-7181,Music,Manhattan Council District #4,Manhattan Community Board #8,Brooklyn,51001,3117610,3051230016,Flatbush
"Big Apple Circus, Ltd.",One MetroTech Center-North,"One MetroTech Center-North, New York",40.6931259,-73.9866365,New York,NY,11201,(212) 268-2500 x148,Theater,Manhattan Council District #3,Manhattan Community Board #5,Brooklyn,11,3000000,3001420100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Big Apple Greeter, Inc.",1 Centre Street,"1 Centre Street, New York",40.7128306,-74.0037149,New York,NY,10007,(212) 669-3146,Other,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,29,1001394,1001210001,Chinatown
"Big Apple Performing Arts, Inc.","676A 9th Avenue, Suite 405","676A 9th Avenue, Suite 405, New York",40.761389,-73.990277,New York,NY,10036,(212) 344-1777 x11,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,127,1025074,1010370062,Clinton
"Big Art Group, Inc.",P.O. Box 1034,"P.O. Box 1034, New York",40.6106889,-73.9765105,New York,NY,10276,(646) 479-4363,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,,,,
"Big Dance Theater, Inc.",303 Clinton Street,"303 Clinton Street, Brooklyn",40.6858528,-73.9962601,Brooklyn,NY,11231,(646) 717-0585,Theater,Brooklyn Council District #39,Brooklyn Community Board #2,Manhattan,,,,
"Big Tree Productions, Inc.","42 Horatio Street, #9","42 Horatio Street, #9, New York",40.7386177,-74.0048851,New York,NY,10014,(212) 633-0016,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,77,1078217,1006260032,West Village
Biko Transformation Center,1474 Bushwick Avenue,"1474 Bushwick Avenue, Brooklyn",40.683133,-73.9074428,Brooklyn,NY,11207,(718) 455-5963,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn,403,3080316,3034560036,Bushwick South
"Billie Holiday Theatre, Inc.",P.O. Box 470131,"P.O. Box 470131, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11247,(718) 636-0918 x11,Theater,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,,,,
"Bindlestiff Family Variety Arts, Inc.",P.O. Box 386,"P.O. Box 386, New York",40.7430276,-73.9848159,New York,NY,10009,(718) 963-2918,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,,,,
Black American Heritage Foundation,"94-20 Guy Brewer Boulevard, Room 3D08","94-20 Guy Brewer Boulevard, Room 3D08, Jamaica",40.7022966,-73.7960148,Jamaica,NY,11451,(212) 366-6900 x201,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,246,4215630,4101040043,Jamaica
Black Experimental Theatre,P.O. Box 1902,"P.O. Box 1902, New York",40.7127753,-74.0059728,New York,NY,10013,(646) 623-3488,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,,,,
"Black Moon Theatre Company, Inc.","104 Greenpoint Avenue, #4L","104 Greenpoint Avenue, #4L, Brooklyn",40.7298108,-73.9567227,Brooklyn,NY,11222,(347) 268-3276,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Manhattan,,,,
"Black Spectrum Theatre Company, Inc.","119-07 Merrick Boulevard, 2nd Floor","119-07 Merrick Boulevard, 2nd Floor, Jamaica",40.685558,-73.7732057,Jamaica,NY,11434,(718) 723-1800,Theater,Queens Council District #27,Queens Community Board #12,Queens,426,4268835,4124060180,St. Albans
Black Women's Blueprint,P.O. Box 24713,"P.O. Box 24713, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11202,(347) 533-9102,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn,,,,
"Blackberry Productions, Inc.","170 West 136th Street, Ste. 4C","170 West 136th Street, Ste. 4C, New York",40.815621,-73.9427558,New York,NY,10030,(212) 694-6698,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,228,1058295,1019200059,Central Harlem North-Polo Grounds
Blank Forms INC.,468 Grand Ave.,"468 Grand Ave., Brooklyn",40.6820184,-73.9618128,Brooklyn,NY,11238,(347) 463-6316,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,201,3335113,3020140035,Clinton Hill
"Blessed Unrest Theatre, Inc.","530 W. 45th Street, #4G","530 W. 45th Street, #4G, New York",40.7620533,-73.9955804,New York,NY,10036,(212) 713-0163,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,129,1088825,1010737502,Clinton
"Bloomingdale School of Music, Inc.",323 West 108th Street,"323 West 108th Street, New York",40.8034282,-73.9682298,New York,NY,10025,(212) 663-6021 x23,Music,Manhattan Council District #9,Manhattan Community Board #7,Manhattan,195,1057302,1018930010,Morningside Heights
"Blue Coyote Theater Group, Inc.","380 Broadway, 4th Floor","380 Broadway, 4th Floor, New York",40.7179417,-74.0025904,New York,NY,10013,(646) 242-6260,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,31,1002317,1001950001,SoHo-TriBeCa-Civic Center-Little Italy
"Blue Heron Theatre, Inc.","645 West End Avenue, Suite 7B","645 West End Avenue, Suite 7B, New York",40.7926408,-73.9754271,New York,NY,10025,(212) 787-0422,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,179,1034102,1012510062,Upper West Side
